공간정보일련번호,어항명,항구지번주소,사진자료안내정보,원천자료명,지방어항조사년도,조사기관명,공간정보
1,가진항,강원도 고성군 죽왕면 가진리,소형선용항만/지방어항/,소형선항만안내도,2017,국립해양조사원,POINT (128.5115305555557 38.366838888889035)
2,오호항,강원도 고성군 죽왕면 오호리,소형선용항만/지방어항/,소형선항만안내도,2017,국립해양조사원,POINT (128.52967777777795 38.32555555555568)
3,문암1리항,강원도 고성군 죽왕면 문암1리,소형선용항만/지방어항/,소형선항만안내도,2017,국립해양조사원,POINT (128.5498111111113 38.30183333333346)
4,문암2리항,강원도 고성군 죽왕면 문암2리,소형선용항만/지방어항/,소형선항만안내도,2017,국립해양조사원,POINT (128.55025833333352 38.29536388888901)
5,교암항,강원도 고성군 토성면 교암리,소형선용항만/지방어항/,소형선항만안내도,2017,국립해양조사원,POINT (128.54863888888906 38.289736111111225)
6,천진항,강원도 고성군 토성면 천진리,소형선용항만/지방어항/,소형선항만안내도,2017,국립해양조사원,POINT (128.5610500000002 38.25898333333343)
7,봉포항,강원도 고성군 토성면 봉포리,소형선용항만/지방어항/,소형선항만안내도,2017,국립해양조사원,POINT (128.5688888888891 38.25043611111121)
8,물치항,강원도 양양군 강현면 물치리,소형선용항만/지방어항/,소형선항만안내도,2017,국립해양조사원,POINT (128.6103694444447 38.15450277777784)
9,동산항,강원도 양양군 현남면 동산리,소형선용항만/지방어항/,소형선항만안내도,2017,국립해양조사원,POINT (128.76301111111155 37.979086111111094)
10,소돌항,강원도 강릉시 주문진읍 주문리,소형선용항만/지방어항/,소형선항만안내도,2017,국립해양조사원,POINT (128.83038055555616 37.90417777777774)
11,영진항,강원도 강릉시 연곡면 영진리,소형선용항만/지방어항/,소형선항만안내도,2017,국립해양조사원,POINT (128.84956666666733 37.86584722222216)
12,초곡항,강원도 삼척시 근덕면 초곡리,소형선용항만/지방어항/,소형선항만안내도,2017,국립해양조사원,POINT (129.31599166666976 37.28814166666634)
13,신남항,강원도 삼척시 원덕읍 갈남리,소형선용항만/지방어항/,소형선항만안내도,2017,국립해양조사원,POINT (129.32799444444763 37.265413888888546)
14,골장항,경상북도 울진군 죽변면 봉평리,소형선용항만/지방어항/,소형선항만안내도,2017,국립해양조사원,POINT (129.41505833333738 37.03245555555511)
15,기성항,경상북도 울진군 기성면 기성리,소형선용항만/지방어항/,소형선항만안내도,2017,국립해양조사원,POINT (129.45977222222683 36.80164999999946)
16,직산항,경상북도 울진군 평해읍 직산리,소형선용항만/지방어항/,소형선항만안내도,2017,국립해양조사원,POINT (129.47435555556035 36.72456388888831)
17,백석항,경상북도 영덕군 병곡면 백석리,소형선용항만/지방어항/,소형선항만안내도,2017,국립해양조사원,POINT (129.4135527777818 36.62410277777719)
18,병곡항,경상북도 영덕군 병곡면 병곡리,소형선용항만/지방어항/,소형선항만안내도,2017,국립해양조사원,POINT (129.41450833333744 36.598699999999404)
19,경정항,경상북도 영덕군 축산면 경정리,소형선용항만/지방어항/,소형선항만안내도,2017,국립해양조사원,POINT (129.43478611111544 36.48270277777714)
20,노물항,경상북도 영덕군 영덕읍 노물리,소형선용항만/지방어항/,소형선항만안내도,2017,국립해양조사원,POINT (129.43500833333763 36.44467777777713)
21,창포항,경상북도 영덕군 영덕읍 대부리,소형선용항만/지방어항/,소형선항만안내도,2017,국립해양조사원,POINT (129.42609444444864 36.40580833333267)
22,부경항,경상북도 영덕군 남정면 부경리,소형선용항만/지방어항/,소형선항만안내도,2017,국립해양조사원,POINT (129.3780611111148 36.271361111110416)
23,지경항,경상북도 포항시 북구 송라면 지경리,소형선용항만/지방어항/,소형선항만안내도,2017,국립해양조사원,POINT (129.3753916666703 36.26040277777709)
24,방석항,경상북도 포항시 북구 송라면 방석리,소형선용항만/지방어항/,소형선항만안내도,2017,국립해양조사원,POINT (129.3822472222259 36.232222222221516)
25,이가리항,경상북도 포항시 북구 청하면 이가리,소형선용항만/지방어항/,소형선항만안내도,2017,국립해양조사원,POINT (129.38637500000374 36.18469166666594)
26,죽천항,경상북도 포항시 북구 흥해읍 죽천리,소형선용항만/지방어항/,소형선항만안내도,2017,국립해양조사원,POINT (129.42000833333742 36.0879916666659)
27,발산항,경상북도 포항시 남구 동해면 발산리,소형선용항만/지방어항/,소형선항만안내도,2017,국립해양조사원,POINT (129.50330000000514 36.03240277777697)
28,대보1리항,경상북도 포항시 남구 호미곶면 대보1리,소형선용항만/지방어항/,소형선항만안내도,2017,국립해양조사원,POINT (129.56959722222837 36.06819166666584)
29,삼정항,경상북도 포항시 남구 구룡포읍 삼정리,소형선용항만/지방어항/,소형선항만안내도,2017,국립해양조사원,POINT (129.57383333333956 36.00301944444361)
30,모포항,경상북도 포항시 남구 장기면 모포리,소형선용항만/지방어항/,소형선항만안내도,2017,국립해양조사원,POINT (129.52694166667212 35.932486111110265)
31,전촌항,경상북도 경주시 감포읍 전촌리,소형선용항만/지방어항/,소형선항만안내도,2017,국립해양조사원,POINT (129.49505277778277 35.79058611111023)
32,나정항,경상북도 경주시 감포읍 나정리,소형선용항만/지방어항/,소형선항만안내도,2017,국립해양조사원,POINT (129.49575000000505 35.77710833333244)
33,가곡항,경상북도 경주시 감포읍 대본리,소형선용항만/지방어항/,소형선항만안내도,2017,국립해양조사원,POINT (129.4933027777828 35.76016666666577)
34,당사항,울산광역시 북구 당사동,소형선용항만/지방어항/,소형선항만안내도,2017,국립해양조사원,POINT (129.45839722222678 35.58404444444352)
35,주전항,울산광역시 동구 주전동,소형선용항만/지방어항/,소형선항만안내도,2017,국립해양조사원,POINT (129.4575333333379 35.56160277777684)
36,나사항,울산광역시 울주군 서생면 나사리,소형선용항만/지방어항/,소형선항만안내도,2017,국립해양조사원,POINT (129.34082500000326 35.35520555555461)
37,신암항,울산광역시 울주군 서생면 신암리,소형선용항만/지방어항/,소형선항만안내도,2017,국립해양조사원,POINT (129.32663611111423 35.34705555555461)
38,월내항,부산광역시 기장군 장안읍 월내리,소형선용항만/지방어항/,소형선항만안내도,2017,국립해양조사원,POINT (129.27793333333602 35.32506388888793)
39,칠암항,부산광역시 기장군 일광면 칠암리,소형선용항만/지방어항/,소형선항만안내도,2017,국립해양조사원,POINT (129.26141666666922 35.298633333332376)
40,동백항,부산광역시 기장군 일광면 동백리,소형선용항만/지방어항/,소형선항만안내도,2017,국립해양조사원,POINT (129.25805833333587 35.28853333333238)
41,이동항,부산광역시 기장군 일광면 이천리,소형선용항만/지방어항/,소형선항만안내도,2017,국립해양조사원,POINT (129.2452416666691 35.27074999999905)
42,학리항,부산광역시 기장군 일광면 학리,소형선용항만/지방어항/,소형선항만안내도,2017,국립해양조사원,POINT (129.24618611111356 35.25933611111015)
43,두호항,부산광역시 기장군 기장읍 죽성리,소형선용항만/지방어항/,소형선항만안내도,2017,국립해양조사원,POINT (129.2459416666691 35.24292777777682)
44,신암항,부산광역시 기장군 기장읍,소형선용항만/지방어항/,소형선항만안내도,2017,국립해양조사원,POINT (129.22872500000233 35.21915277777681)
