어항명,보고서경도,보고서위도,경도,위도,주소,비고
창대항,129.43,36.41,129.426003,36.406076,경상북도 영덕군 영덕읍 영덕대게로 782,창대항(창포항)
창후항,126.35,37.77,126.3543,37.770317,인천광역시 강화군 하점면 창후로 320,창후항
채석포항,126.23,36.69,126.229114,36.694563,충청남도 태안군 근흥면 용도로 258,채석포항
천리포항,126.15,36.8,126.146236,36.80337,충청남도 태안군 소원면 천리포2길 61,천리포항
천부항,130.87,37.54,130.872316,37.540586,경상북도 울릉군 북면 천부길 2,천부항
청사포항,129.19,35.16,129.191215,35.159677,부산광역시 해운대구 청사포로128번길 18,청사포항
초곡항,129.29,37.31,129.293622,37.310536,강원도 삼척시 근덕면 초곡길 236-20,초곡항
추포항,126.08,34.8,126.078578,34.796258,전라남도 신안군 암태면 추엽길 174-85,추포항
충도항,127.07,34.38,127.074423,34.379268,전라남도 완도군 금일읍 금일충도길 4,충도항
칠암항,129.26,35.3,129.261313,35.300109,부산광역시 기장군 일광면 문오성길 476,칠암항
탄도항,126.6,37.25,126.646245,37.190412,경기도 안산시 단원구 대부황금로 5-14,탄도항
태하항,130.8,37.51,130.797811,37.510669,경상북도 울릉군 서면 태하2길 6,태하항
태흥2리항,126.75,33.29,126.751165,33.286089,제주특별자치도 서귀포시 남원읍 남태해안로 509 ,태흥2리항
톱머리항,126.39,34.97,126.390052,34.966679,전라남도 무안군 망운면 톱머리길 11,톱머리항
통개항,126.14,36.72,126.14285,36.725465,충청남도 태안군 소원면 통개항길 36-46,통개항
통구미항,130.86,37.46,130.857016,37.46033,경상북도 울릉군 서면 울릉순환로 1065-8,통구미항
평림항,128.4,34.86,128.397862,34.860126,경상남도 통영시 평인일주로 831 ,평림항
포교항,128.27,34.9,128.274973,34.905104,경상남도 고성군 삼산면 두포1길2 02-17 ,포교항
표선항,126.85,33.33,126.845893,33.325817,제주특별자치도 서귀포시 표선면 표선당포로16-7 ,표선항
풍도항,126.39,37.11,126.393808,37.112013,경기도 안산시 단원구 풍도길 3,풍도항
하귀1리항,126.41,33.49,126.40688,33.486024,제주특별자치도 제주시 애월읍 하귀1리 1624-6 ,하귀1리항
구암항,127.29,34.47,127.292057,34.47174,전라남도 고흥군 도화면 목섬선창길 49-9,하동항에서 구암항으로 변경(2021.05.20)
하청항,128.65,34.96,128.647935,34.960357,경상남도 거제시 하청면 연하해안로 1608 ,하청항
하촌항,128.25,34.94,128.245496,34.938487,경상남도 고성군 삼산면 삼봉리 502-8,하촌항
하태항,125.29,34.43,125.298048,34.393881,전라남도 신안군 흑산면 장굴길 9-5,하태항
하포항,128.48,34.76,128.477821,34.761001,경상남도 통영시 한산면 한산일주로 1205-5,하포항
하효항,126.62,33.25,126.620191,33.24929,제주특별자치도 서귀포시 쇠소깍로 151-10 ,하효항
학가항,126.49,34.41,126.490222,34.405167,전라남도 해남군 송지면 학가1길 260,학가항
학리항,129.24,35.26,129.246259,35.259409,부산광역시 기장군 일광면 학리등대로 54,학리항
학림항,128.41,34.75,128.407765,34.748543,경상남도 통영시 산양읍 학림길 95 ,학림항
학암포항,126.21,36.9,126.206942,36.901433,충청남도 태안군 원북면 옥파로 1216,학암포항
한내항,128.61,34.92,128.609552,34.924022,경상남도 거제시 연초면 연하해안로 701-11 ,한내항
함구미항,127.71,34.54,127.70953,34.53814,전라남도 여수시 남면 용머리길 34-7,함구미항
항도항,128.05,34.74,128.049955,34.740776,경상남도 남해군 미조면 동부대로 310번길 33,항도항
항촌항,127.86,34.73,127.860407,34.731407,경상남도 남해군 남면남면로 1031번길 39-9 ,항촌항
광승항,,,,,전북 고창군 해리면 광승리,
호도항,126.26,36.3,126.265307,36.3036,충청남도 보령시 오천면 호도길 10-2,호도항
호령항,127.65,34.57,127.646663,34.566001,전라남도 여수시 화정면 호령길 44,호령항
호산항,129.34,37.18,129.343994,37.175361,강원도 삼척시 원덕읍 호산3길 166,호산항
화도항,125.94,34.72,125.936269,34.71599,전라남도 신안군 도초면 불섬길 102,화도항
화북항,126.57,33.52,126.565784,33.525954,제주특별자치도 제주시 진북길 13 ,화북항
화전항,127.02,34.35,127.018959,34.353395,전라남도 완도군 금일읍 금일로274번길 28,화전항
당목항,126.94,34.37,126.946128,34.378412,전라남도 완도군 약산면 해동2길 6,
물막구미항,,,,,전라남도 완도군 노화읍 포전리,
고리포항,,,,,전북 고창군 상하면 자룡리,
동고(노화)항,,,,,전남 완도군 노화읍 동고,
동고(신지)항,,,,,전남 완도군 신지면 동고,
서래포구항,,,,,전북 군산시 중동,
울도항,,,,,인천 옹진군 덕적면 울도리,
화포항,127.48,34.84,127.484771,34.839781,전라남도 순천시 별량면 화포길 33,화포항
황포항,128.67,35.02,128.674476,35.026355,경상남도 거제시 장목면 구영리 1181-1,황포항
횡간항,127.76,34.58,127.7571,34.579716,전라남도 여수시 남면 횡간해안길 24,횡간항
효자도항,126.44,36.38,126.439376,36.384027,충청남도 보령시 오천면 효자도길 38,효자도항
후포항,126.39,37.64,126.391751,37.641072,인천광역시 강화군 화도면 해안남로 2807-1,후포항
천진항,128.56,38.26,128.560753,38.259413,강원도 고성군 토성면 천진해변길 46,천진항
비소항,,,,,전라남도 신안군 장산면 공수리,
축강항,,,,,전라남도 신안군 장산면 팽진리,
솔목항,,,,,전라남도 신안군 장산면 팽진리,
활목항,,,,,전라남도 신안군 장산면 팽진리,
호피항,,,,,전라남도 신안군 장산면 팽진리,
사근항,,,,,전라남도 신안군 장산면 팽진리,
백야항,,,,,전라남도 신안군 장산면 팽진리,
앤두항,,,,,전라남도 신안군 장산면 다수리,
막금항,,,,,전라남도 신안군 장산면 팽진리,
마진항,,,,,전라남도 신안군 장산면 마진리,
율도항,,,,,전라남도 신안군 장산면 마진리,
금산항,,,,,전라남도 신안군 안좌면 금산리,
복호항,,,,,전라남도 신안군 안좌면 복호리,
자라1항,,,,,전라남도 신안군 안좌면 자라리,
자라2항,,,,,전라남도 신안군 안좌면 자라리,
계림항,,,,,전라남도 신안군 안좌면 자라리,
해달피항,,,,,전라남도 신안군 안좌면 자라리,
부소항,,,,,전라남도 신안군 안좌면 존포리,
퇴촌항,,,,,전라남도 신안군 안좌면 반월리,
반월항,,,,,전라남도 신안군 안좌면 반월리,
박지항,,,,,전라남도 신안군 안좌면 박지리,
돈목항,,,,,전라남도 신안군 도초면 우이리,
성촌항,,,,,전라남도 신안군 도초면 우이리,
구대항,,,,,전라남도 신안군 안좌면 구대리,
우목항,,,,,전라남도 신안군 안좌면 우목리,
두리항,,,,,전라남도 신안군 안좌면 소곡리,
내호항,,,,,전라남도 신안군 안좌면 내호리,
읍동항,,,,,전라남도 신안군 안좌면 읍동리,
마진항,,,,,전라남도 신안군 안좌면 마진리,
오동항,,,,,전라남도 신안군 안좌면 시서리,
북지항,,,,,전라남도 신안군 안좌면 한운리,
사치항,,,,,전라남도 신안군 안좌면 사치리,
앞너리항,,,,,전라남도 신안군 안좌면 읍동리,
재섬항,,,,,전라남도 신안군 안좌면 금산리,
진번항,,,,,전라남도 신안군 안좌면 소곡리,
자라어민항,,,,,전라남도 신안군 안좌면 소곡리,
백계항,,,,,전라남도 신안군 팔금면 장촌리,
원산항,,,,,전라남도 신안군 팔금면 원산리,
북진항,,,,,전라남도 신안군 팔금면 장목리,
뛰섬항,,,,,전라남도 신안군 팔금면 읍리,
거문항,,,,,전라남도 신안군 팔금면 이목리,
매도항,,,,,전라남도 신안군 팔금면 이목리,
중리항,,,,,부산광역시 영도구 동삼동 632-1번지 일원,
하리항,,,,,부산광역시 영도구 동삼동764-7번지 일원,
용호항,,,,,부산광역시 남구 용호3동 5-8번지 일원,
구덕포항,,,,,부산광역시 해운대구 송정동 799-23번지 일원,
미포항,129.17,35.15,129.1717,35.1579,부산광역시 해운대구 달맞이길62번길 50-1 (중동),
하단항,,,,,부산광역시 사하구 하단동 1165-31번지 일원,
명지항,,,,,부산광역시 강서구 영강길 20(명지동) 일원,
동리항,,,,,부산광역시 강서구 명지동 2630-1번지 일원,
녹산항,,,,,부산광역시 강서구 녹산동 92-2번지 일원,
외눌항,,,,,부산광역시 강서구 눌차동562-28일원,
동선항,,,,,부산광역시 강서구 동선동 201-25번지 일원,
정거항,,,,,부산광역시 강서구 눌차동 75-7일원,
선창항,,,,,부산광역시 강서구 성북동 2-13일원,
두문항,,,,,부산광역시 강서구 천성동 1339-25일원,
외양포항,,,,,부산광역시 강서구 가덕해안로 1309(대항동)일원,
엄궁항,,,,,부산광역시 사상구 엄궁동 639번지,
임랑항,,,,,부산광역시 기장군 장안읍 임랑리 145-6 일원,
길천항,,,,,부산광역시 기장군 장안읍 길천리 188-62일원,
신평항,,,,,부산광역시 기장군 일광면 신평리 47-9일원,
월전항,,,,,부산광역시 기장군 기장읍 죽성리 154-20일원,
서암항,,,,,부산광역시 기장군 기장읍 연화리 297-6일원,
을왕항,,,,,인천광역시 중구 을왕동 773-27,
신촌항,,,,,전라남도 신안군 신의면 상태서리,
기동항,,,,,전라남도 신안군 신의면 하태서리,
왕산항,,,,,인천광역시 중구 을왕동 810-4,
택리항,,,,,인천광역시 강화군 길상면 선두리,
미루지항,,,,,인천광역시 강화군 화도면 여차리,
황청항,,,,,인천광역시 강화군 내가면 황청리,
죽산포항,,,,,인천광역시 강화군 교동면 동산리 407-3,
남산포항,,,,,인천광역시 강화군 교동면 읍내리,
월선포항,,,,,인천광역시 강화군 교동면 상용리,
사하동항,,,,,인천광역시 강화군 삼산면 매음리,
서검항,,,,,인천광역시 강화군 삼산면 서검리,
석모항,,,,,인천광역시 강화군 삼산면 석모리,
내진항,,,,,인천광역시 강화군 삼산면 석포리,
미법항,,,,,인천광역시 강화군 삼산면 미법리,
하리항,,,,,인천광역시 강화군 삼산면 하리 67-7,
상리항,,,,,인천광역시 강화군 삼산면 상리,
동진항,,,,,인천광역시 강화군 교동면 읍내리,
나무께항,,,,,인천광역시 강화군 삼산면 석포리,
말도항,,,,,인천광역시 강화군 서도면 말도리,
볼음항,,,,,인천광역시 강화군 서도면 볼음도리17-6,
아차항,,,,,인천광역시 강화군 서도면 아차도리39-1,
아진포항,,,,,인천광역시 옹진군 대청면 소청2리,
사탄동항,,,,,인천광역시 옹진군 대청면 대청4리,
예동항,,,,,인천광역시 옹진군 대청면 소청1리,
신도1리항,,,,,인천광역시 옹진군 북도면 신도1리,
시도항,,,,,인천광역시 옹진군 북도면 시도리,
모도항,,,,,인천광역시 옹진군 북도면 모도리,
야달항,,,,,인천광역시 옹진군 북도면 장봉2리,
대빈창항,,,,,인천광역시 옹진군 북도면 장봉3리,
사항포항,,,,,인천광역시 옹진군 백령면 가을3리,
오군포항,,,,,인천광역시 옹진군 백령면 남포2리,
분암포항,,,,,인천광역시 옹진군 대청면 소청리,
텃골항,,,,,인천광역시 옹진군 덕적면 소야리,
선촌항,,,,,인천광역시 옹진군 덕적면 소야리,
굴업항,,,,,인천광역시 옹진군 덕적면 서포3리,
이일레항,,,,,인천광역시 옹진군 자월면 승봉리,
계남항,,,,,인천광역시 옹진군 자월면 이작1리,
벌안항,,,,,인천광역시 옹진군 자월면 이작2리,
화암항,129.41,25.37,129.4149,35.4792,울산광역시 동구 방어동1022-11번지,
남상진항,129.42,35.48,129.4209,35.482,울산광역시 동구 방어동 233번지,
남진항,,,,,울산광역시 동구 방어동 868-26번지 지선,
일산항,129.43,35.5,129.4349,35.5,울산광역시 동구 일산동 290번지,
보밑항,,,,,울산광역시 동구 주전동 739-3번지 지선,
하리항,,,,,울산광역시 동구 주전동 297-1번지 지선,
큰불항,,,,,울산광역시 동구 주전동 153-2번지 지선,
화암항,,,,,울산광역시 북구 산하동 7-2번지일원,
판지항,,,,,울산광역시북구구유동296-1번지일원,
윗우가항,,,,,울산광역시 북구 당사동112-11번지일원,
우가항,,,,,울산광역시 북구 당사동152-4번지일원,
석천항대체시설항,,,,,경기도 화성시 우정읍 매향리 970-2 인근,
신오이도항,,,,,경기도 시흥시 정왕동 2377(중간선착장),
구오이도항,,,,,경기도 시흥시 정왕동 2199-1 인근(배다리선착장),
동동항,,,,,경기도 안산시 단원구 동동 산314-18,
말부흥항,,,,,경기도 안산시 단원구 남동 산387,
흘곳항,,,,,경기도 안산시 단원구 남동 산1345-6,
중부흥항,,,,,경기도 안산시 단원구 대부남동 산24-14,
방아머리항,,,,,경기도 안산시 단원구 대부북동 1848-442,
흥성항,,,,,경기도 안산시 단원구 대부남동 산169-5,
권관항,,,,,경기도 평택시 현덕면 평택호길 4,
육도항,,,,,경기도 안산시 단원구 풍도동 (육도) 산297,
누에섬항,,,,,경기도 안산시 단원구 선감동 산170,
오리진항,,,,,강원도 강릉시 주문진읍 주문5리,
강문항,,,,,강원도 강릉시 초당동,
도직항,,,,,강원도 강릉시 옥계면 도직리,
동호항,,,,,강원도 양양군 손양면 동호리,
하광정항,,,,,강원도 양양군 현북면 하광정리,
광진항,,,,,강원도 양양군 현남면 광진리,
청간항,,,,,강원도 고성군 토성면 청간리 54-19,
장은항,,,,,충청남도 보령시 천북면 장은리 1068,
회변항,,,,,충청남도 보령시 천북면 학성리 239-5,
고창개항,,,,,충청남도 서산시 대산읍 오지리 697-9,
개목항,,,,,충청남도 서산시 팔봉면 호리 산54,
장구항,,,,,충청남도 서천군 마서면 한성리 134-6,
고산항,126.17,33.31,126.165486,33.309783,제주특별자치도 제주시 한경면 노을해안로 1161 ,고산항
곤리항,128.37,34.78,128.370042,34.783409,경상남도 통영시 산양읍 곤리길 45,곤리항
골장항,129.42,37.03,129.414979,37.033147,경상북도 울진군 죽변면 골장길 256,골장항
곰소항,126.61,35.59,126.606302,35.585837,전라북도 부안군 진서면 곰소항길 82-1,곰소항
관포항,128.7,34.99,128.697289,34.991245,경상남도 거제시 장목면 관포길 77 ,관포항
관호항,126.04,34.24,126.041381,34.236271,전라남도 진도군 조도면 관매도관호길 61,관호항
광명항,126.44,37.38,126.436531,37.373763,인천광역시 중구 대무의로 523-2,광명항
광천항,127.96,34.87,127.96143,34.866157,경상남도 남해군 창선면 서부로 591번길 39-8 ,광천항
교암항,128.55,38.29,128.548725,38.289743,강원도 고성군 토성면 천학정길 14,교암항
구노량항,127.87,34.95,127.875464,34.947558,경상남도 하동군 금남면 노량리 828,구노량항
구도항,126.33,36.83,126.325973,36.827998,충청남도 서산시 팔봉면 호리 621-3,구도항
구매항,126.25,36.25,126.432639,36.425155,충청남도 태안군 고남면 고남리 26-6,구매항
굴포항,126.21,34.37,126.20878,34.369047,전라남도 진도군 임회면 굴포길 17-94,굴포항
궁리항,126.46,36.59,126.456313,36.589453,충청남도 홍성군 서부면 남당항로 849,궁리항
부항항,,,,,전라남도 완도군 보길면 부황리,
궁항항,126.47,35.6,126.468695,35.598999,전라북도 부안군 변산면 궁항로 143,궁항항
귀덕1리항,126.29,33.45,126.293266,33.445768,제주특별자치도 제주시 한림읍 귀덕11길 23-3 ,귀덕1리항
금능항,127.21,34.74,127.209953,34.737213,전라남도 보성군 득량면 공룡로 1245,금능항
금사항,127.42,34.58,127.417508,34.582993,전라남도 고흥군 영남면 사도진해안길 133,금사항
금진항,127.12,34.49,127.122199,34.490427,전라남도 고흥군 금산면 거금일주로 1,금진항
기사문항,128.43,38,128.731225,38.007774,강원도 양양군 현북면 기사문길 34,기사문항
기성항,129.46,36.8,129.458413,36.803336,경상북도 울진군 기성면 기성2길 6-8,기성항
나사항,129.34,35.36,129.340968,35.35535,울산광역시 울주군 서생면 나사해안길 51,나사항
나정항,129.49,35.78,129.494958,35.776678,경상북도 경주시 감포읍 동해안로 1888-3,나정항
낙지포항,127.97,34.97,127.971044,34.966305,경상남도 사천시 서포면 거북길 468-10 ,낙지포항
난지도항,126.45,37.05,126.45064,37.053912,충청남도 당진시 석문면 난지1길 357,난지도항
남성항,127.41,34.52,127.414836,34.520191,전라남도 고흥군 포두면 천마로 3498-13,남성항
내동항,126.72,34.44,126.724515,34.442597,전라남도 해남군 북일면 사동길 56-55,내동항
내항항,128.46,34.73,128.459937,34.731259,경상남도 통영시 한산면 비진도길 27 ,내항항
냉천항,128.03,34.91,128.028604,34.907053,경상남도 남해군 창선면 동부대로 2860번길 19 ,냉천항
노물항,129.44,36.45,129.434717,36.44535,경상북도 영덕군 영덕읍 노물길 25,노물항
녹도항,126.27,36.27,126.267379,36.269021,충청남도 보령시 오천면 녹도1길 3,녹도항
농소항,128.71,35.01,128.709197,35.008429,경상남도 거제시 장목면 임호2길 2-17 ,농소항
늑도항,128.04,34.92,128.039077,34.924025,경상남도 사천시 늑도길 73 ,늑도항
다사항,126.61,36.1,126.613556,36.095492,충청남도 서천군 비인면 갯벌체험로 944번길 64-12,다사항
다수항,126.15,34.62,126.150689,34.619737,전라남도 신안군 장산면 두두리길 187,다수항
답동항,124.75,37.78,124.745011,37.776564,인천광역시 옹진군 대청면 소청동로 1,답동항
당동항,128.41,34.99,128.408353,34.988697,경상남도 고성군 거류면 당동5길 62-2 ,당동항
당사항,129.46,35.58,129.458457,35.584027,울산광역시 북구 용바위1길 25,당사항
당저항,128.02,34.84,128.01919,34.841134,경상남도 남해군 창선면 동부대로 2084번길 72 ,당저항
당항항,128.38,35.05,128.38456,35.048978,경상남도 고성군 회화면 당항만로 1007 ,당항항
대명항,126.54,37.64,126.540345,37.639015,경기도 김포시 대곶면 대명항1로 107-1,대명항
대무의항,126.41,37.41,126.413862,37.409902,인천광역시 중구 대무의로 30,대무의항
대벽항,128,34.91,127.999233,34.91133,경상남도 남해군 대벽리 859-4,대벽항
대보1리항,129.57,36.07,129.568759,36.068041,경상북도 포항시 남구 호미곶면 해맞이로46번길 11,대보1리항
대영항,127.49,34.5,127.485065,34.505602,전라남도 고흥군 동일면 대영상촌길 19-95,대영항
대통항,127.28,34.5,127.280022,34.500525,전라남도 고흥군 도화면 더수연안길 87,대통항
대포항(제주),126.44,33.24,126.438486,33.23814,제주특별자치도 서귀포시 대포로 172-8,대포항
대항항,128.83,35.01,128.826214,35.011422,부산광역시 강서구 가덕해안로 1210,대항항
덕동항,128.58,35.14,128.578961,35.137505,경상남도 창원시 마산합포구 덕동동 581-11,덕동항
덕우항,127.01,34.25,127.013977,34.249432,전라남도 완도군 생일면 덕우도길 17-1,덕우항
덕촌항,126.89,34.46,126.891353,34.455679,전라남도 장흥군 대덕읍 양하덕촌길 388,덕촌항
덕흥항,127.44,34.53,127.439453,34.529494,전라남도 고흥군 동일면 성두구룡길 159,덕흥항
도리포항,126.35,35.16,126.346329,35.155257,전라남도 무안군 해제면 만송로 823,도리포항
도장포항,128.66,34.74,128.662147,34.74238,경상남도 거제시 남부면 도장포2길 29-2 ,도장포항
불도항,126.64,37.2,126.6445,37.2061,경기도 안산시 단원구 선감동,
동소우이항,,,,,전라남도 신안군 도초면 우이리,
사동항(경북),129.45,36.83,129.448556,36.825317,경상북도 울진군 기성면 사동1길 206-9,육지
정동항,,,,,전라남도 완도군 보길면 정동리,
사동항(전남),127.08,34.34,127.076991,34.334275,전라남도 완도군 금일읍 사동길 55-1,도서
사천진항,128.88,37.84,128.878054,37.834886,강원도 강릉시 진리해변길 68-20,육지
삼길포항,126.45,37,126.453417,37.004978,충청남도 서산시 대산읍 삼길포1로 63,육지
삼덕항,128.38,34.8,128.380208,34.794912,경상남도 통영시 산양읍 원항1길 3,육지
서거차항,125.92,34.25,125.915565,34.249185,전라남도 진도군 조도면 서거차도1길 54,도서
서망항,126.13,34.37,126.134073,34.365474,전라남도 진도군 임회면 서망항길 50-17,육지
선진포항,124.72,37.83,124.716221,37.82819,인천광역시 옹진군 대청면 대청로 22-2,도서
소래포구항,126.74,37.4,126.741521,37.399338,인천광역시 남동구 논현동 장도로 86-18,육지
소안항,127.08,34.34,126.633659,34.151214,전라남도 완도군 소안면 소안로 1079,도서
수산항,128.67,38.08,128.676279,38.078326,강원도 양양군 손양면 수산1길 26-41,육지
수품항,126.31,34.38,126.309762,34.379208,전라남도 진도군 의신면 수품길 67,육지
시산항,127.26,34.39,127.262057,34.395887,전라남도 고흥군 도양읍 시산석금길 26,도서
신수항,128.08,34.9,128.073008,34.902309,경상남도 사천시 신수서길 1-48 ,도서
신양항,126.33,33.94,126.327702,33.941619,제주특별자치도 제주시 추자면 추자로 576-4,도서
아야진항,128.56,38.27,128.557975,38.27224,강원도 고성군 토성면 아야진해변길 101,육지
안도항,127.8,34.48,127.795952,34.478731,전라남도 여수시 남면 서고지길 16,도서
안마항,126.02,35.35,126.01328,35.349027,전라남도 영광군 낙월면 안마길 17,도서
안흥항,126.15,36.68,126.143166,36.678688,충청남도 태안군 근흥면 안흥1길 36,육지
양포항,129.52,35.88,129.52372,35.879562,경상북도 포항시 남구 장기면 양포리 9-32,육지
어란진항,126.48,34.35,126.474818,34.349412,전라남도 해남군 송지면 어란로 469,육지
어유정항,126.34,37.64,126.342939,37.642827,인천광역시 강화군 삼산면 어류정길177번길 117,도서
어청도항,125.98,36.12,125.986109,36.116945,전라북도 군산시 옥도면 어청도길 49-4,도서
여서항,126.92,33.99,126.92186,33.988107,전라남도 완도군 청산면 여서도길 1-1,도서
여호항,127.47,34.66,127.473851,34.661269,전라남도 고흥군 점암면 여호해안길 81,육지
연도항(전남),127.8,34.43,127.798206,34.429781,전라남도 여수시 남면 연도길 300-6,도서
연도항(전북),126.44,36.08,126.444028,36.080249,전라북도 군산시 옥도면 연도1길 1-2,도서
오산항,129.42,36.89,129.418315,36.890569,경상북도 울진군 매화면 망양정로 104,육지
오천항(충남),126.52,36.44,126.519502,36.439966,충청남도 보령시 오천면 소성리 700-86,육지
외연도항,126.08,36.23,126.079672,36.224716,충청남도 보령시 오천면 외연도1길 64,도서
외포항,128.72,34.94,128.720481,34.93884,경상남도 거제시 장목면 외포리 57-2,육지
욕지항,128.27,34.63,128.272932,34.630657,경상남도 통영시 욕지면 욕지일주로 53,도서
우이도항,125.86,34.62,125.857601,34.620498,전라남도 신안군 도초면 우이진리길 16,도서
원전항,128.63,35.07,128.633447,35.067232,경상남도 창원시 마산합포구 구산면 이순신로 734 ,육지
원평항,125.91,34.78,125.912376,34.778393,전라남도 신안군 비금면 원평해수욕장길 65,도서
위도항,126.3,35.62,126.303236,35.61931,전라북도 부안군 위도면 위도로 30,도서
위미항,126.66,33.27,126.66174,33.269792,제주특별자치도 서귀포시 남원읍 위미중앙로196번길 6-13,육지
읍천항,129.47,35.69,129.475996,35.691357,경상북도 경주시 양남면 양남항구길 46,육지
이목항,126.57,34.18,126.570284,34.175973,전라남도 완도군 노화읍 노화로 863,도서
임원항,129.35,37.23,129.344219,37.227364,강원도 삼척시 원덕읍 임원항구로 16,육지
