공간정보일련번호,어촌정주어항위도,어촌정주어항경도,어촌정주어항종류,어촌정주어항명칭,공간정보
1,127.5340124,34.82943144,마을공동어항,두랭이항,MULTIPOINT ((1003110.1135559548 1648313.4335294745))
2,127.5291219,34.80823931,마을공동어항,광암항,MULTIPOINT ((1002663.6052656018 1645963.2352602822))
3,127.5498483,34.80870506,마을공동어항,반월항,MULTIPOINT ((1004559.2987654547 1646015.6292895349))
4,127.5591053,34.80096178,마을공동어항,하복항,MULTIPOINT ((1005406.4822272538 1645157.4162237963))
5,127.5605608,34.79385892,마을공동어항,진목항,MULTIPOINT ((1005540.0949556929 1644369.8414287048))
6,127.5657424,34.77627642,마을공동어항,궁항항,MULTIPOINT ((1006015.3821636292 1642420.3757709311))
7,127.5744754,34.76399197,마을공동어항,달천항,MULTIPOINT ((1006815.4583333591 1641058.6864760958))
8,127.583616,34.74274161,마을공동어항,오천항,MULTIPOINT ((1007653.9001466717 1638702.8551237218))
9,127.5920579,34.74565261,마을공동어항,수문등항,MULTIPOINT ((1008426.3469445375 1639026.335619905))
10,127.5769206,34.73645383,마을공동어항,이천항,MULTIPOINT ((1007041.5671221856 1638005.1048627729))
11,127.5033886,34.754211,마을공동어항,마파항,MULTIPOINT ((1000310.1356070339 1639971.5364356812))
12,127.5608519,34.74146078,마을공동어항,운두도항,MULTIPOINT ((1005570.2448896286 1638559.324467201))
13,127.5542148,34.71910422,마을공동어항,기밀개항,MULTIPOINT ((1004964.0350702507 1636079.8295717565))
14,127.5631807,34.72626531,마을공동어항,인기미항,MULTIPOINT ((1005784.4772290062 1636874.409387921))
15,127.5546223,34.7117685,마을공동어항,마상항,MULTIPOINT ((1005001.7909479822 1635266.384057346))
16,127.5717391,34.73069006,마을공동어항,중촌항,MULTIPOINT ((1006567.68389299 1637365.6010668627))
17,127.5573587,34.69535042,마을공동어항,대서이항,MULTIPOINT ((1005253.3985573818 1633445.9090559569))
18,127.551362,34.68749069,마을공동어항,소서이항,MULTIPOINT ((1004704.6170313483 1632574.043310921))
19,127.5569511,34.67730217,마을공동어항,서연항,MULTIPOINT ((1005217.2057654292 1631444.5086095373))
20,127.5800063,34.65057911,마을공동어항,자매항,MULTIPOINT ((1007331.6078339308 1628482.6225253302))
21,127.5736603,34.63963372,마을공동어항,공정뒷항,MULTIPOINT ((1006750.9608292833 1627268.4476948415))
22,127.5780268,34.63934261,마을공동어항,공정앞항,MULTIPOINT ((1007151.1778080348 1627236.4675975707))
23,127.5327898,34.62816433,마을공동어항,둔병항,MULTIPOINT ((1003005.5912655266 1625994.634787332))
24,127.5558449,34.63881864,마을공동어항,조발항,MULTIPOINT ((1005118.2343371095 1627177.014526478))
25,127.51381,34.62531156,마을공동어항,작은적금항,MULTIPOINT ((1001265.9002242333 1625677.8899927652))
26,127.5546223,34.59381444,마을공동어항,사도항,MULTIPOINT ((1005008.881181782 1622186.4735042166))
27,127.566441,34.59311581,마을공동어항,추도항,MULTIPOINT ((1006092.7100362943 1622109.6523451759))
28,127.6044006,34.59952003,마을공동어항,상화항,MULTIPOINT ((1009572.9078727984 1622822.7558591652))
29,127.6184316,34.59486242,마을공동어항,하화항,MULTIPOINT ((1010860.0787169838 1622307.6989778364))
30,127.5529339,34.61576344,마을공동어항,규포항,MULTIPOINT ((1004852.7809484212 1624620.2936641457))
31,127.6322298,34.62432181,마을공동어항,와달항,MULTIPOINT ((1012121.0801788454 1625575.9977812616))
32,127.6324044,34.63183219,마을공동어항,세포항,MULTIPOINT ((1012135.9951422488 1626408.8421544393))
33,127.6200618,34.63916794,마을공동어항,구심이항,MULTIPOINT ((1011003.7151806045 1627220.884269223))
34,127.6131918,34.64341803,마을공동어항,장등항,MULTIPOINT ((1010373.5496246981 1627691.4463501931))
35,127.6414868,34.63476261,마을공동어항,삼섬항,MULTIPOINT ((1012968.0154394377 1626734.925730504))
36,127.6418749,34.62699994,마을공동어항,힛도항,MULTIPOINT ((1013004.801756469 1625874.1768825806))
37,127.6454458,34.61007728,마을공동어항,동머리항,MULTIPOINT ((1013334.8245551988 1623998.0995294987))
38,127.6253404,34.61586047,마을공동어항,신기항,MULTIPOINT ((1011490.7178608963 1624636.9194181645))
39,127.6800674,34.569983,마을공동어항,정목항,MULTIPOINT ((1016516.9517348898 1619557.2101521445))
40,127.6893438,34.56881858,마을공동어항,월항항,MULTIPOINT ((1017368.0883175328 1619429.6461125105))
41,127.7162803,34.56749892,마을공동어항,밀징포항,MULTIPOINT ((1019839.2341428375 1619288.2726430728))
42,127.7107688,34.57844431,마을공동어항,소두뒤항,MULTIPOINT ((1019331.1338646918 1620500.9232984593))
43,127.7457009,34.56656742,마을공동어항,소두뒤항,MULTIPOINT ((1022538.2196255295 1619191.1529878806))
44,127.7502809,34.56470436,마을공동어항,소두앞항,MULTIPOINT ((1022958.8574159396 1618985.5929783692))
45,127.7388309,34.57328214,마을공동어항,큰나발항,MULTIPOINT ((1021906.2724880619 1619934.2279418886))
46,127.7572285,34.57956992,마을공동어항,목넘항,MULTIPOINT ((1023591.9777387261 1620635.617821556))
47,127.7665437,34.56544181,마을공동어항,소횡간항,MULTIPOINT ((1024450.4734709284 1619071.18450939))
48,127.7371231,34.58632344,마을공동어항,마족항,MULTIPOINT ((1021746.2304317149 1621379.994362373))
49,127.7374336,34.578716,마을공동어항,월전항,MULTIPOINT ((1021776.6927619084 1620536.4800149964))
50,127.7534248,34.55084797,마을공동어항,여천항,MULTIPOINT ((1023251.1094993104 1617449.7977709484))
51,127.7704251,34.53586597,마을공동어항,수항항,MULTIPOINT ((1024815.2940417466 1615792.512983726))
52,127.7915396,34.49813931,마을공동어항,소우실포항,MULTIPOINT ((1026764.913753688 1611614.4688830548))
53,127.7539293,34.50388369,마을공동어항,학동항,MULTIPOINT ((1023310.483379601 1612242.1407290553))
54,127.8087145,34.48025603,마을공동어항,이야포항,MULTIPOINT ((1028347.7250997648 1609636.1155841039))
55,127.8055998,34.42905139,마을공동어항,남부항,MULTIPOINT ((1028078.8432096697 1603957.3277152462))
56,127.7969831,34.41601006,마을공동어항,덕포항,MULTIPOINT ((1027291.3740878631 1602508.869836063))
57,127.8200966,34.49769294,마을공동어항,동고지항,MULTIPOINT ((1029386.7674063393 1611572.898588048))
58,127.7301464,34.52459067,마을공동어항,두포항,MULTIPOINT ((1021122.0026626216 1614533.0639657595))
59,127.7379479,34.50782325,마을공동어항,직포항,MULTIPOINT ((1021842.3728759753 1612675.421068401))
60,127.7684553,34.53122778,마을공동어항,소유항,MULTIPOINT ((1024635.9049137528 1615277.7103967096))
61,127.7341054,34.61110583,마을공동어항,예교항,MULTIPOINT ((1021463.1029175211 1624127.4477190622))
62,127.732941,34.58921506,마을공동어항,치끝항,MULTIPOINT ((1021361.951502782 1621699.7491434333))
63,127.7888323,34.60598244,마을공동어항,음지항,MULTIPOINT ((1026482.1846234262 1623572.323131491))
64,127.7902296,34.60842769,마을공동어항,양지항,MULTIPOINT ((1026609.5172024699 1623843.8434444354))
65,127.7909283,34.62205122,마을공동어항,백포항,MULTIPOINT ((1026669.2140949026 1625354.736654739))
66,127.7546571,34.73191267,마을공동어항,신추항,MULTIPOINT ((1023313.4430983029 1637528.3534369618))
67,127.7434788,34.72079261,마을공동어항,세구지항,MULTIPOINT ((1022293.075315811 1636292.6986732378))
68,127.7408589,34.72719683,마을공동어항,백초항,MULTIPOINT ((1022051.4930189358 1637002.2950021666))
69,127.7797535,34.70952112,마을공동어항,하동항,MULTIPOINT ((1025617.8954860764 1635051.4240664255))
70,127.7766061,34.69727167,마을공동어항,굴전훗자리항,MULTIPOINT ((1025333.4050382497 1633692.2706330167))
71,127.7484275,34.67631242,마을공동어항,도실항,MULTIPOINT ((1022758.3564369855 1631361.3505544313))
72,127.7040638,34.67817544,마을공동어항,금죽항,MULTIPOINT ((1018693.7838496108 1631558.8122006897))
73,127.6374599,34.65104486,마을공동어항,석개항,MULTIPOINT ((1012596.4670697803 1628539.950402948))
74,127.634316,34.66070942,마을공동어항,원포항,MULTIPOINT ((1012306.9404892073 1629611.2646867689))
75,127.7047624,34.60842769,마을공동어항,송도서편항,MULTIPOINT ((1018773.4974359999 1623824.6184878473))
76,127.6239528,34.67829189,마을공동어항,안정항,MULTIPOINT ((1011354.9947782479 1631559.7723895875))
77,127.622672,34.69063458,마을공동어항,발통금항,MULTIPOINT ((1011235.9908119366 1632928.3165742222))
78,127.6246515,34.69459356,마을공동어항,난장이항,MULTIPOINT ((1011416.7571964398 1633367.552401671))
79,127.6265145,34.71695008,마을공동어항,용주항,MULTIPOINT ((1011584.2766991216 1635846.9012003364))
80,127.6155691,34.70798417,마을공동어항,나진항,MULTIPOINT ((1010583.2059316125 1634851.4556833603))
81,127.6153363,34.70379233,마을공동어항,참새끼미항,MULTIPOINT ((1010562.411960491 1634386.595022215))
