공간정보일련번호,어촌정주어항위도,어촌정주어항경도,어촌정주어항종류,어촌정주어항명칭,어촌정주어항주소,어촌정주어항어선수,어촌정주어항주요시설,어촌정주어항지정일,공간정보
9,127.058932,34.65002,어촌정주어항,군학항,전라남도 보성군 회천면 전일리 874-1,15,인양기; 부잔교; 선상집하장; 선착장,,MULTIPOINT ((959581.0566938868 1628506.1670818778))
10,127.094964,34.670017,어촌정주어항,동율항,전라남도 보성군 회천면 우암길 81,56,인양기; 부잔교; 선상집하장; 선착장,,MULTIPOINT ((962891.921620804 1630709.791882657))
11,127.110535,34.681175,어촌정주어항,군농항,전라남도 보성군 회천면 금광길 32,17,인양기; 부잔교; 선상집하장; 선착장,,MULTIPOINT ((964323.2790089694 1631941.4891992677))
12,127.142926,34.693703,어촌정주어항,서당항,전라남도 보성군 회천면 서당리 36,12,인양기; 부잔교; 선상집하장; 선착장,,MULTIPOINT ((967295.3798085366 1633319.7354450712))
13,127.17527,34.692051,어촌정주어항,객산항,전라남도 보성군 회천면 객산리 220-35,10,인양기; 부잔교; 선상집하장; 선착장,,MULTIPOINT ((970257.2068833237 1633126.5105122472))
14,127.185776,34.695917,어촌정주어항,선소항,전라남도 보성군 득량면 비봉리 595-8,18,인양기; 부잔교; 선상집하장; 선착장; 물양장,,MULTIPOINT ((971220.8181548388 1633552.1619683988))
15,127.199523,34.711153,어촌정주어항,청암항,전라남도 보성군 득량면 비봉리 508-6,14,인양기; 부잔교; 선착장,,MULTIPOINT ((972484.928660632 1635237.857628406))
16,127.210768,34.729445,어촌정주어항,해평항,전라남도 보성군 득량면 해평리 36-9,8,인양기; 부잔교; 선상집하장; 선착장,,MULTIPOINT ((973520.483392665 1637263.2690009316))
17,127.230877,34.758231,어촌정주어항,예당항,전라남도 고흥군 대서면 동서로 1419-151,5,부잔교; 선착장,,MULTIPOINT ((975370.0351619266 1640450.2941576652))
18,127.395942,34.791642,어촌정주어항,대포항,전라남도 보성군 벌교읍 대포리 234-5,20,인양기; 부잔교; 선상집하장; 선착장,,MULTIPOINT ((990480.5267583568 1644127.263917002))
19,127.389525,34.829004,어촌정주어항,장양항,전라남도 보성군 벌교읍 장양리 114-5,12,인양기; 부잔교; 선착장,,MULTIPOINT ((989898.0445268688 1648271.067933263))
26,126.965456,34.445863,어촌정주어항,장흥노력항,전라남도 장흥군 회진면 노력도1길 465,,,,MULTIPOINT ((950895.1669321711 1605908.7279453026))
136,126.2149684,34.52301864,어촌정주어항,청룡항,,,,,MULTIPOINT ((882058.7959250988 1615084.3412366894))
137,126.2963905,34.39663111,어촌정주어항,금갑항,,,,,MULTIPOINT ((889365.5673802767 1600976.570397367))
138,126.2676859,34.38454056,어촌정주어항,동헌항,,,,,MULTIPOINT ((886710.6395130627 1599667.4863718478))
139,126.138755,34.46839672,어촌정주어항,보전항,,,,,MULTIPOINT ((874981.8894298949 1609118.4329971764))
1,126.40981,34.846201,어촌정주어항,마동항,전라남도 무안군 삼향읍 왕산리 1107-8,73,물양장 136m; 방파제 53m,2005-11-10,MULTIPOINT ((900330.4722970934 1650714.3685083934))
2,126.388896,34.927408,어촌정주어항,구로항,전라남도 무안군 청계면 구로리 715-20,36,물양장 115m; 방파제 500m,2005-11-12,MULTIPOINT ((898518.2512357561 1659741.328695882))
3,126.335692,34.994787,어촌정주어항,송현항,전라남도 무안군 망운면 송현리 1070-10,36,물양장 11m; 방파제 123m,2005-11-14,MULTIPOINT ((893745.706804774 1667269.144358022))
4,126.297648,34.961641,어촌정주어항,신월항,전라남도 무안군 운남면 내리 1004-4,45,물양장 60m,2005-11-15,MULTIPOINT ((890229.4240230515 1663634.2431583153))
5,126.306351,34.928188,어촌정주어항,남촌항,전라남도 무안군 운남면 성내리 1047-2,25,물양장 70m; 방파제 41m,2005-11-16,MULTIPOINT ((890979.7393105761 1659914.665351613))
6,126.387687,35.085091,어촌정주어항,월두항,전라남도 무안군 현경면 용정리 5,44,물양장 200m,2005-11-17,MULTIPOINT ((898602.6052570399 1677230.1550676147))
