어항명,연도,어항주소,위도,경도,인근어항명,인근어항항종,인근어항과의거리,전체가구,전체인구,어업가구,배후어업인구,어촌계명
다대포항,1971,부산광역시 사하구 다대로605번길 67,35.05,128.99,눌차항,지방어항,11.6,2617,5602,278,539,"다대, 홍치"
천성항,2008,부산광역시 강서구 가덕해안로 761,35.03,128.82,대항항,지방어항,2.2,369,662,214,215,천성
대변항,1971,부산광역시 기장군 기장읍 기장해안로 623,35.13,129.23,신암항,지방어항,1,735,3120,243,880,"대변, 서암, 신암"
어유정항,1971,인천광역시 강화군 삼산면 어류정길177번길 117,37.64,126.34,장곳항,지방어항,2.2,100,225,101,85,"매음, 사하동"
덕적도항,1971,인천광역시 옹진군 덕적면 덕적북로518번길 77,37.25,126.12,서포리항,어촌정주어항,5.8,868,1450,111,181,덕적
선진포항,1999,인천광역시 옹진군 대청면 대청로 22-2,37.83,124.72,옥죽포항,지방어항,2.8,432,757,180,228,"선진, 옥죽"
진두항,1986,인천광역시 옹진군 영흥면 내리,37.15,126.29,광명항,지방어항,14.3,3024,6035,982,1081,영흥
소래포구항,2017,인천광역시 남동구 장도로 67,37.4,126.74,선재항,어촌정주어항,21.3,38775,106672,152,375,"소래, 월곶"
정자항,1971,울산광역시 북구 정자1길 60-12,35.62,129.45,당사항,지방어항,5.7,407,777,144,430,"정자, 제전, 판지"
방어진항,1971,울산광역시 동구 성끝4길 1,35.48,129.43,주전항,지방어항,8.9,21035,49466,353,460,"방어진, 일산"
궁평항,2008,경기도 화성시 서신면 궁평항로 1049-24,37.12,126.68,백미항,어촌정주어항,5.2,287,655,118,160,궁평리
대진항(강원),1971,강원도 고성군 현내면 대진항길 100,38.5,128.42,초도항(강원),어촌정주어항,2.3,251,442,136,170,대진
거진항,1995,강원도 고성군 거진읍 거진항1길 62-3,38.45,128.46,반암항,어촌정주어항,3.9,3000,7000,200,300,거진
공현진항,1999,강원도 고성군 죽왕면 공현진해변길 78-1,38.35,128.51,가진항,지방어항,2,259,591,53,77,공현진
아야진항,1971,강원도 고성군 토성면 아야진해변길 88,38.27,128.56,천진항,지방어항,1.7,1119,1760,412,486,"아야진, 청간"
대포항,1971,강원도 속초시 대포항희망길 83,38.17,128.61,설악항,어촌정주어항,0.7,354,1181,123,111,"대포, 내물치, 외옹치"
수산항,1991,강원도 양양군 손양면 수산1길 26-41,38.08,128.67,오산항(강원),어촌정주어항,2,101,223,51,137,"수산리, 오산리"
