연 번,항 명,주 소,비 고
1,다대포항,부산광역시 사하구 다대로605번길 67,
2,대변항,부산광역시 기장군 기장읍 기장해안로 623,
3,천성항,부산광역시 강서구 가덕해안로 761,
4,어유정항,인천광역시 강화군 삼산면 어류정길177번길 117,
5,덕적도항,인천광역시 옹진군 덕적면 덕적북로518번길 77,
6,진두항,인천광역시 옹진군 영흥면 영흥북로 34,
7,선진포항,인천광역시 옹진군 대청면 대청로 22-2,
8,소래포구항,인천 남동구 장도로 67,
9,정자항,울산광역시 북구 정자1길 60-12,
10,방어진항,울산광역시 동구 성끝4길 1,
11,대진항(강원),강원도 고성군 현내면 대진항길 100,
12,거진항,강원도 고성군 거진읍 거진항1길 62-3,
13,공현진항,강원도 고성군 죽왕면 공현진해변길 78-1,
14,아야진항,강원도 고성군 토성면 아야진해변길 88,
15,대포항,강원도 속초시 대포항희망길 83,
16,수산항,강원도 양양군 손양면 수산1길 26-41,
17,남애항,강원도 양양군 현남면 매바위길 115,
18,사천진항,강원도 강릉시 사천면 진리해변길 68-13,
19,강릉항,강원도 강릉시 창해로 14번길 51-26,
20,금진항,강원도 강릉시 옥계면 헌화로 455-3,
21,덕산항,강원도 삼척시 근덕면 덕산해안로 200-23,
22,궁촌항,강원도 삼척시 근덕면 궁촌해변길 142-7,
23,장호항,강원도 삼척시 근덕면 장호항길 111,
24,임원항,강원도 삼척시 원덕읍 임원항구로 16,
25,죽변항,경상북도 울진군 죽변면 죽변항길 124,
26,오산항,경상북도 울진군 원남면 망양정로 124,
27,사동항(경북),경상북도 울진군 기성면 사동1길 206-9,
28,구산항,경상북도 울진군 기성면 구산봉산로 126-4,
29,대진항(경북),경상북도 영덕군 영해면 영덕대게로 2742,
30,축산항,경상북도 영덕군 축산면 축산항길 75,
31,구계항,경상북도 영덕군 남정면 구계1길 6-7,
32,대보항,경상북도 포항시 남구 호미곶면 구만길 292,
33,양포항,경상북도 포항시 남구 장기면 양포항길 91,
34,감포항,경상북도 경주시 감포읍 감포로2길 103,
35,읍천항,경상북도 경주시 양남면 양남항구길 46,
36,현포항,경상북도 울릉군 북면 울릉순환로 2625,
37,저동항,경상북도 울릉군 울릉읍 봉래1길 19-11,
